timestamp,label,nof_ues,cqi,pusch_snr,pucch_snr,dl_ok,dl_nok,dl_bler
1777523868.982731536,constant_amp0.35,1,50,31.1,3.3,4,8,.6666
1777523869.979457027,constant_amp0.35,1,50,0.0,4.5,0,0,0.0
1777523870.977302093,constant_amp0.35,1,50,0.0,4.4,0,0,0.0
1777523871.978120217,constant_amp0.35,1,50,0.0,4.6,0,0,0.0
1777523872.981368769,constant_amp0.35,1,50,0.0,4.3,2,3,.6000
1777523873.977842290,constant_amp0.35,1,50,31.3,4.8,0,0,0.0
1777523874.974479848,constant_amp0.35,1,50,0.0,4.9,0,0,0.0
1777523875.976571833,constant_amp0.35,1,50,0.0,4.5,0,0,0.0
1777523876.977884316,constant_amp0.35,1,50,0.0,3.4,0,0,0.0
1777523877.980281216,constant_amp0.35,1,50,29.8,4.5,0,0,0.0
1777523898.975986405,constant_amp0.35_ext,1,50,0.0,4.2,0,0,0.0
1777523899.986496255,constant_amp0.35_ext,1,50,0.0,4.4,2,2,.5000
1777523900.980592863,constant_amp0.35_ext,1,50,0.0,4.0,2,2,.5000
1777523901.979498277,constant_amp0.35_ext,1,50,29.0,4.4,0,0,0.0
1777523902.979285887,constant_amp0.35_ext,1,50,0.0,4.9,0,0,0.0
1777523903.982128233,constant_amp0.35_ext,1,50,0.0,4.5,0,0,0.0
1777523904.982172502,constant_amp0.35_ext,1,50,0.0,3.7,0,0,0.0
1777523905.979806556,constant_amp0.35_ext,1,50,0.0,3.9,0,0,0.0
1777523906.976734473,constant_amp0.35_ext,1,50,0.0,4.5,0,0,0.0
1777523907.982327215,constant_amp0.35_ext,1,50,0.0,4.0,0,0,0.0
1777523908.977455254,constant_amp0.35_ext,1,50,0.0,4.2,0,0,0.0
1777523909.976442830,constant_amp0.35_ext,1,50,0.0,4.6,0,0,0.0
1777523910.976887196,constant_amp0.35_ext,1,50,0.0,3.9,0,0,0.0
1777523911.975867887,constant_amp0.35_ext,1,50,0.0,3.5,0,0,0.0
1777523912.976287702,constant_amp0.35_ext,1,50,0.0,4.1,0,0,0.0
